Uliana Ozerova,U17965448,uozerova@usf.edu,4,5,3
Lola Lopes,U16373393,lola@usf.edu,2,999,6
Amy-Leigh Johns,U12345671,amy@usf.edu,2,999,3
Emil Griffiths,U22345672,emil@usf.edu,2,1,4
Alfie James,U32345673,alf@usf.edu,4,999,4
Sakina Mcbride,U42345673,sakina@usf.edu,2,3,4
Montgomery Huang,U52345675,montgomery@usf.edu,2,3,3
Julia Buchanan,U62345677,julia@usf.edu,3,999,4
Adeel Mcnamara,U82345676,adeel@usf.edu,4,4,4
Charly Mustafa,U72345671,charly@usf.edu,2,999,1
Alissa Childs,U02345670,alissa@usf.edu,1,1,1
Inigo Byrd,U25345677,inigo@usf.edu,1,3,4
Alex Milko,U98734263,alex@usf.edu,999,999,4
